# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 13 10:46:08 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
604,EPIC 206268299,EPIC 206268299.01,K2-74 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,22h39m40.64s,339.919342,-08d42m52.2s,-8.714505,19.56660000,2456997.999200,,0.02150,2.310,0.98,12.430,11.068
605,EPIC 206268299,EPIC 206268299.01,K2-74 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,22h39m40.64s,339.919342,-08d42m52.2s,-8.714505,19.56555700,2456997.999940,26.134571,0.02498,2.959,1.09,12.430,11.068
606,EPIC 206268299,EPIC 206268299.01,K2-74 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,22h39m40.64s,339.919342,-08d42m52.2s,-8.714505,19.56508600,2456998.001000,,0.02425,2.940,1.01,12.430,11.068
607,EPIC 206298289,EPIC 206298289.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h29m25.85s,337.357697,-08d16m00.1s,-8.266702,0.43483590,2456979.772000,,0.02723,1.590,0.50,14.688,11.395
608,EPIC 206298289,EPIC 206298289.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,,1,22h29m25.85s,337.357697,-08d16m00.1s,-8.266702,0.43482700,2456987.600120,5.200000,0.02970,1.620,0.50,14.688,11.395
609,EPIC 206311743,EPIC 206311743.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,22h20m28.44s,335.118500,-08d03m37.9s,-8.060535,4.31444335,2456983.718059,,,,,12.922,10.701
610,EPIC 206312951,EPIC 206312951.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CANDIDATE,,,1,22h28m20.41s,337.085052,-08d02m29.5s,-8.041529,1.53402000,2456980.159000,9.440000,0.02200,1.130,,14.497,11.328
611,EPIC 206312951,EPIC 206312951.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h28m20.41s,337.085052,-08d02m29.5s,-8.041529,1.53396660,2456980.161000,,0.02385,1.470,0.52,14.497,11.328
612,EPIC 206317286,EPIC 206317286.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,22h30m28.22s,337.617584,-07d58m20.7s,-7.972406,17.50166200,2456995.350000,,0.03159,2.630,0.73,13.806,11.635
613,EPIC 206318379,EPIC 206318379.01,K2-28 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,22h22m29.85s,335.624390,-07d57m19.3s,-7.955366,2.26043000,2456980.250000,16.570000,0.07500,2.300,,14.854,10.746
614,EPIC 206318379,EPIC 206318379.01,K2-28 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,22h22m29.85s,335.624390,-07d57m19.3s,-7.955366,2.26044390,2456980.250000,,0.07740,1.600,0.18,14.854,10.746
615,EPIC 206348688,EPIC 206348688.01,K2-75 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,7.81733990,2456983.433000,,0.01814,2.160,1.01,12.566,11.178
616,EPIC 206348688,EPIC 206348688.02,K2-75 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,18.28325700,2456992.751000,,0.01992,2.310,1.01,12.566,11.178
617,EPIC 206348688,EPIC 206348688.01,K2-75 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,7.81794900,2456983.429340,10.570530,0.01887,2.549,1.24,12.566,11.178
618,EPIC 206348688,EPIC 206348688.01,K2-75 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,7.81420000,2456983.451000,,0.01560,2.670,1.56,12.566,11.178
619,EPIC 206348688,EPIC 206348688.02,K2-75 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,18.31100000,2456992.715000,,0.01620,2.770,1.56,12.566,11.178
620,EPIC 206348688,EPIC 206348688.02,K2-75 c,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,22h35m22.76s,338.844849,-07d28m11.5s,-7.469853,18.28606900,2456992.747240,21.419376,0.01945,2.626,1.24,12.566,11.178
621,EPIC 206403979,EPIC 206403979.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,22h11m33.45s,332.889374,-06d34m06.8s,-6.568565,23.80390000,2456982.388400,,0.21000,12.000,0.48,18.642,
622,EPIC 206417197,EPIC 206417197.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,,1,22h28m32.03s,337.133453,-06d20m51.0s,-6.347505,0.44209400,2457007.484140,3.200000,0.01380,1.160,0.77,13.352,11.394
623,EPIC 206417197,EPIC 206417197.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h28m32.03s,337.133453,-06d20m51.0s,-6.347505,0.44214967,2456979.628000,,0.01471,1.320,0.76,13.352,11.394
624,EPIC 206432863,EPIC 206432863.01,K2-76 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....151..159S target=ref>Schmitt et al. 2016</a>,FALSE POSITIVE,Planet refuted by Shporer et al. 2017,,0,22h28m25.34s,337.105591,-06d05m12.0s,-6.086677,11.98970000,2456983.826300,15.100000,0.07870,,,13.008,11.484
625,EPIC 206432863,EPIC 206432863.01,K2-76 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,FALSE POSITIVE,Planet refuted by Shporer et al. 2017,,1,22h28m25.34s,337.105591,-06d05m12.0s,-6.086677,11.99899626,2456983.807771,,,,,13.008,11.484
626,EPIC 206432863,EPIC 206432863.01,K2-76 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,FALSE POSITIVE,Planet refuted by Shporer et al. 2017,,0,22h28m25.34s,337.105591,-06d05m12.0s,-6.086677,11.98968600,2456983.827000,,0.08007,9.010,0.96,13.008,11.484
627,EPIC 206432863,EPIC 206432863.01,K2-76 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,Planet refuted by Shporer et al. 2017,,0,22h28m25.34s,337.105591,-06d05m12.0s,-6.086677,23.97260000,2456983.833700,,0.07930,11.100,1.28,13.008,11.484
628,EPIC 206439513,EPIC 206439513.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,22h31m24.84s,337.853516,-05d58m40.7s,-5.977968,18.41512600,2456992.868130,2.717431,0.18369,69.443,3.47,11.437,10.621
629,EPIC 206439513,EPIC 206439513.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h31m24.84s,337.853516,-05d58m40.7s,-5.977968,18.40611800,2456992.866000,,0.02417,5.200,1.84,11.437,10.621
630,EPIC 206500801,EPIC 206500801.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,22h17m58.14s,334.492249,-04d51m52.6s,-4.864619,8.15306759,2456985.369335,,,,,12.187,10.296
631,EPIC 206532093,EPIC 206532093.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,22h22m18.70s,335.577911,-04d12m22.6s,-4.206278,2.20218680,2456979.588000,,0.59160,56.500,0.96,11.561,10.035
632,EPIC 206535016,EPIC 206535016.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h20m57.66s,335.240265,-04d08m22.1s,-4.139476,20.39814700,2456996.368000,,0.03633,2.930,0.85,11.644,10.019
633,EPIC 206535016,EPIC 206535016.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,22h20m57.66s,335.240265,-04d08m22.1s,-4.139476,20.39807100,2456996.368390,72.850542,0.03041,2.579,0.78,11.644,10.019
634,EPIC 206543223,EPIC 206543223.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,22h24m02.68s,336.011169,-03d57m15.8s,-3.954390,17.80345864,2456988.787620,,,,,11.487,9.933
635,EPIC 206543223,EPIC 206543223.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,22h24m02.68s,336.011169,-03d57m15.8s,-3.954390,17.81286600,2456988.772000,,0.25680,22.500,0.92,11.487,9.933
636,EPIC 206543223,EPIC 206543223.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,0,22h24m02.68s,336.011169,-03d57m15.8s,-3.954390,17.81188000,2456988.775400,,0.21200,21.600,0.93,11.487,9.933
637,EPIC 207389002,EPIC 207389002.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h50m45.28s,102.688667,+16d48m30.4s,16.808443,2.93122600,2456775.095040,,0.75000,90.000,1.12,15.519,13.826
638,EPIC 207517400,EPIC 207517400.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,0,1,06h22m31.38s,95.630730,+17d20m09.5s,17.335972,6.38780000,2456776.651500,,0.47000,65.000,1.25,14.837,13.872
639,EPIC 207739861,EPIC 207739861.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h38m13.06s,99.554420,+18d13m37.8s,18.227169,1.81449000,2456769.389500,,0.27000,27.000,0.92,16.099,14.546
640,EPIC 208445756,EPIC 208445756.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h23m07.93s,95.783028,+20d58m17.3s,20.971462,22.48440000,2456775.034070,,0.65000,79.000,1.15,15.681,13.556
641,EPIC 208833261,EPIC 208833261.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h04m25.99s,91.108276,+22d29m58.1s,22.499475,3.47451000,2456773.478300,,0.05360,10.600,1.83,13.371,12.826
642,EPIC 209036259,EPIC 209036259.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h27m38.42s,96.910088,+23d20m26.7s,23.340759,0.36918100,2456767.956390,,0.07050,16.500,2.22,15.738,13.961
643,EPIC 209286622,EPIC 209286622.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h15m40.34s,93.918068,+24d22m00.2s,24.366735,6.71694000,2456775.264600,,0.44000,39.000,0.82,16.326,14.408
644,EPIC 210363145,EPIC 210363145.01,K2-77 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,,0,03h40m54.82s,55.228428,+12d34m21.4s,12.572612,8.20080000,2457062.612300,,,,,11.896,9.799
645,EPIC 210363145,EPIC 210363145.01,K2-77 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,03h40m54.82s,55.228428,+12d34m21.4s,12.572612,8.19981400,2457070.806480,23.465690,0.02921,2.498,0.78,11.896,9.799
646,EPIC 210363145,EPIC 210363145.01,K2-77 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h40m54.82s,55.228428,+12d34m21.4s,12.572612,8.20075000,2457070.804200,,0.02700,2.470,0.83,11.896,9.799
647,EPIC 210365511,EPIC 210365511.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,04h00m22.17s,60.092361,+12d38m01.9s,12.633847,3.95197100,2457067.616660,1.466826,0.11188,8.446,0.69,12.439,9.842
648,EPIC 210389383,EPIC 210389383.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,04h10m24.88s,62.603676,+13d13m03.8s,13.217711,14.08549000,2457069.777150,,0.14602,21.100,1.32,12.752,10.772
649,EPIC 210400751,EPIC 210400751.01,K2-78 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,Planet refuted by Cabrera et al. 2017,,1,03h48m54.07s,57.225307,+13d29m00.8s,13.483545,2.29016000,2457065.144400,,0.01450,1.420,0.88,11.892,9.890
650,EPIC 210401157,EPIC 210401157.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,1,03h57m27.91s,59.366280,+13d29m37.3s,13.493703,1.31559000,2457065.968410,,0.43000,102.000,2.30,10.418,9.109
651,EPIC 210402237,EPIC 210402237.01,K2-79 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,03h41m01.42s,55.255905,+13d31m09.7s,13.519372,10.99394800,2457070.246510,17.737717,0.02778,3.147,1.04,11.801,9.907
652,EPIC 210402237,EPIC 210402237.01,K2-79 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h41m01.42s,55.255905,+13d31m09.7s,13.519372,10.99573000,2457070.241000,,0.02610,3.690,1.28,11.801,9.907
653,EPIC 210403955,EPIC 210403955.02,K2-80 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,5.60500000,2457066.484200,,0.01540,1.470,0.87,12.388,10.313
654,EPIC 210403955,EPIC 210403955.03,K2-80  d,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,28.86725300,2457082.937090,45.619404,0.02781,2.552,0.84,12.388,10.313
655,EPIC 210403955,EPIC 210403955.02,K2-80 c,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,5.60530900,2457066.485960,13.301555,0.01622,1.489,0.84,12.388,10.313
656,EPIC 210403955,EPIC 210403955.01,K2-80 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,19.09995000,2457077.592650,29.258083,0.02303,2.113,0.84,12.388,10.313
657,EPIC 210403955,EPIC 210403955.01,K2-80 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,19.09180000,2457077.610000,,0.02100,2.010,0.87,12.388,10.313
658,EPIC 210414957,EPIC 210414957.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,0,04h17m18.06s,64.325264,+13d48m17.4s,13.804842,0.96996700,2457065.101320,,0.35000,59.000,1.54,12.655,10.216
659,EPIC 210414957,EPIC 210414957.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,04h17m18.06s,64.325264,+13d48m17.4s,13.804842,0.96997227,2457062.192319,,,,,12.655,10.216
660,EPIC 210414957,EPIC 210414957.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,FALSE POSITIVE,,,0,04h17m18.06s,64.325264,+13d48m17.4s,13.804842,0.97001600,2457069.949600,3.300000,0.06630,6.290,0.87,12.655,10.216
661,EPIC 210423938,EPIC 210423938.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,04h01m29.37s,60.372360,+14d00m00.6s,14.000156,19.86047600,2457072.016090,34.186841,0.02742,2.083,0.70,12.655,10.272
662,EPIC 210448987,EPIC 210448987.01,K2-81 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10224000,2457070.442500,,0.02610,1.820,0.63,13.927,11.316
663,EPIC 210448987,EPIC 210448987.01,K2-81 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10099028,2457064.344968,,,,,13.927,11.316
664,EPIC 210448987,EPIC 210448987.01,K2-81 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10230000,2457070.441000,19.790000,0.02900,1.970,,13.927,11.316
665,EPIC 210472483,EPIC 210472483.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,04h17m08.62s,64.285896,+14d56m11.0s,14.936378,1.14300180,2457062.307061,,,,,13.179,10.875
666,EPIC 210483889,EPIC 210483889.01,K2-82 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,Planet refuted by Cabrera et al. 2017,,1,03h54m03.57s,58.514874,+15d08m13.7s,15.137152,7.19583400,2457069.075980,,0.13980,2.600,0.17,13.519,10.886
667,EPIC 210490365,EPIC 210490365.01,K2-25 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,,1,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,3.48430000,2457062.584610,,,,,14.528,10.444
668,EPIC 210508766,EPIC 210508766.02,K2-83 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,9.99744000,2457066.271000,29.670000,0.03500,2.120,,13.844,10.765
669,EPIC 210508766,EPIC 210508766.02,K2-83 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,9.99767000,2457066.270300,,0.03190,1.483,0.42,13.844,10.765
670,EPIC 210508766,EPIC 210508766.01,K2-83 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,2.74697000,2457067.063300,,0.02680,1.244,0.42,13.844,10.765
671,EPIC 210508766,EPIC 210508766.01,K2-83 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,2.74723000,2457067.060000,12.620000,0.02900,1.710,,13.844,10.765
672,EPIC 210508766,EPIC 210508766.02,K2-83 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,10.00102551,2457066.266380,,,,,13.844,10.765
673,EPIC 210512842,EPIC 210512842.01,K2-173 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,04h01m29.99s,60.374950,+15d37m30.1s,15.625037,5.86639571,2457067.152409,,,,,12.106,10.299
674,EPIC 210512842,EPIC 210512842.01,K2-173 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,04h01m29.99s,60.374950,+15d37m30.1s,15.625037,5.86869900,2457067.141130,12.982789,0.01749,1.608,0.84,12.106,10.299
675,EPIC 210513446,EPIC 210513446.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,03h52m04.45s,58.018524,+15d38m07.0s,15.635284,1.14907861,2457062.419156,,,,,13.618,11.191
676,EPIC 210513446,EPIC 210513446.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,0,03h52m04.45s,58.018524,+15d38m07.0s,15.635284,1.14898330,2457065.867840,,0.36000,76.000,2.00,13.618,11.191
677,EPIC 210550063,EPIC 210550063.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,04h04m31.66s,61.131908,+16d13m00.1s,16.216694,2.16594452,2457062.815716,,,,,11.147,9.626
678,EPIC 210558622,EPIC 210558622.01,K2-174 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,19.56274300,2457064.216060,23.488220,0.03575,2.492,0.64,12.034,9.496
